name,number,num
AUDIO DESIGN SERVICES LIMITED,2469617,358231
ARMCO DISTRIBUTION LIMITED,2469697,9719254
ASSOCIATED BONDED CABLES LIMITED,2481616,10731347
ALPLA UK LIMITED,2482190,10542935
A.R.T.(G.B.) LIMITED,2483784,9245688
AVRS SYSTEMS LIMITED,2497627,4692415
ABBEY ELECTRONIC CONTROLS LIMITED,2504063,9570061
ASHTON CONTROL SYSTEMS LIMITED,2521846,11243699
ANGLO-EUROPEAN IMPORT/EXPORT LIMITED,2535536,11148686
ASSEMBLY CONTRACTS LIMITED,2562701,10756807
AVERHIRST LIMITED,2565605,8915083
ANNECY ELECTRONICS LIMITED,2567120,11298332
ABBEY PRECISION TOOL COMPANY LIMITED,2567897,4779898
AXLE WEIGHT TECHNOLOGY LIMITED,2571168,4619724
ATG AIRPORTS LIMITED,2590813,11254422
ALFA GOMMA (UK) LIMITED,2594474,10831678
ALEXANDER WINDOWS LIMITED,2599172,11380124
APEX ENGINEERING SERVICES (NORTH WEST) LIMITED,2608339,10060464
AQUAMATIC LIMITED,2615425,10810919
AMOUNTINDEX LIMITED,2622273,9741383
AKT ENGINEERING LIMITED,2630302,7798196
ARCHER WOODNUTT LIMITED,2631434,10839963
ATG ACCESS LTD,2643622,11523747
A.C.K. MATERIALS HANDLING LIMITED,2645507,9492865
A-TEC SYSTEMS LIMITED,2650794,11314959
ADVANCED MEDICAL SOLUTIONS LIMITED,2666957,10535263
ALUMINIUM HANDLES LIMITED,2704140,10789270
ANDREW HORNER & SON LIMITED,2705269,2650794
A. BRUNNSCHWEILER & CO. LIMITED,2727518,10157585
ALKEMI M.F. TECHNOLOGIES LIMITED,2736185,3401609
ABBFAB SERVICES LIMITED,2736698,841813
AIM ENGINEERING LIMITED,2744531,4771342
ASM TECHNOLOGIES LIMITED,2753443,2727518
ADSHEAD'S ALES LTD,2769258,4677862
ADVANCED ALLERGY TECHNOLOGIES LIMITED,2771476,9289488
ADVANCED VEHICLE TECHNOLOGY LIMITED,2771911,6487618
ABC PACKAGING LIMITED,2776878,1538893
A D Y PALLETS & BAGS LIMITED,2782160,5954015
ALPHASONICS (ULTRASONIC CLEANING SYSTEMS) LTD.,2788907,4776526
AKW GLOBAL WAREHOUSING LTD,2792967,925103
AVK SYDDAL LIMITED,2798157,283265
AMDEC INDUSTRIAL PRODUCTS LIMITED,2798513,1018237
AMERICAN PAN UK LTD,2826812,1059755
A & D JOINERY LIMITED,2827987,1718996
ATLAS FIRE & SECURITY LIMITED,2836776,437100
ATLAS TRANSFER PRINTERS LIMITED,2838309,3245354
APOLLO SCIENTIFIC LTD,2856632,5674830
AGATAR LIMITED,2857586,8512816
ASPINALL SPECIALIST VEHICLES LTD.,2859985,3428169
ASCO JOUCOMATIC LIMITED,2861557,7436417
ALPHIN PANS LIMITED,2863035,8121900
A.G.M. SERVICES LIMITED,2868430,9791147
ALTRECH LIMITED,2879786,1125961
AUTOMATIC MAINTENANCE SERVICES LIMITED,2881722,5770379
ALPHATEC 2000 PRINT FINISHING EQUIPMENT LIMITED,2895155,2645507
ASTROPOL LIMITED,2902249,2212402
ATLANTIC BUSINESS COMMUNICATIONS LIMITED,2908402,6643776
AEROTEC PRECISION FINISHING LIMITED,2909223,6694689
ASTERISK CREATIVE CONSULTANTS LIMITED,2912817,2233870
ALLTEX LIMITED,2912886,7996677
AQUA SIGNAL & TELEGRAPHIC SYSTEMS LTD,2918879,10815988
ALLIED SPORTS & LEISURE LIMITED,2918886,1656178
A + S MCKAY SHEET METAL FABRICATION LTD,2925827,10159873
A & G PRECISION AND SONS LIMITED,2929703,5347855
AMALGAMATED SIGNS LIMITED,2936425,8670966
A C PRICE (ENGINEERING) LIMITED,2941418,2868430
ASHTON JOINERY AND BUILDING SERVICES LIMITED,2947431,7786175
ARTHRO-VITE LIMITED,2986654,9211257
ALLIED FILTER SYSTEMS LIMITED,3043174,565088
ATMOS INTERNATIONAL LIMITED,3044274,10382493
AUTOMOTIVE COMPONENT REMANUFACTURING LIMITED,3044513,6342795
ARTHUR H. LEE & SONS LIMITED,3088469,4693127
ALTIMEX LIMITED,3105767,1278168
A.Y.T. ENGINEERING LIMITED,3114116,9412437
ASTRA SIGNS LIMITED,3115547,4997027
AL AIR AVIATION LIMITED,3119826,1483961
AQUAJET MACHINING SYSTEMS LIMITED,3125420,983315
ASSEMBLY SOLUTIONS LIMITED,3131352,2192422
AINTREE PLASTICS LIMITED,3132502,483588
ASIA PACIFIC INSPECTION SERVICES LIMITED,3140633,1966899
ATLANTIC AERO SERVICES LIMITED,3142075,1658454
AVANTI BUSINESS EQUIPMENT LTD.,3151964,1392082
AKS MACHINING LIMITED,3162296,4730811
ATLAS TUBE BENDING LIMITED,3162842,10650697
ADELAN LIMITED,3166948,2483784
ALLEN BROS FIREPLACES LIMITED,3179005,1055095
ACADEMY PRINT & DESIGN (UK) LTD,3197046,3670294
ALEXICAN LTD,3199425,10926189
AUTOMAC (UK) LIMITED,3200331,1406834
ASTRON PACKAGING LIMITED,3219279,1939827
ACEGATE (MANUFACTURING) LTD,3224139,11381329
ACTIVE MEDICAL TECHNOLOGY LIMITED,3229919,4524635
ATLAS GUARDRAIL LIMITED,3233280,9562476
AUTOMOTIVE BODYFILLERS LIMITED,3233318,3114116
A.B. SCREENPRINT LIMITED,3245354,9205180
ANTONIS BAKERY LIMITED,3249744,4571099
