Engineering Company Number,Manufacturing Company Number
7602581,2965021
10126178,2608339
9114531,8713943
11209488,8271124
11003577,10781310
10941318,10720838
11295723,4074750
11488238,9912103
10653680,2488951
7622427,202034
9714286,3503309
11518580,10076735
10818636,173955
11510759,10225020
1673019,7699893
11185561,9885497
11352414,3693358
11609489,11492164
5754605,4460506
10906182,7504174
11496147,9803003
11726636,7623310
10337793,3369945
10431162,4568295
4220175,2856632
6129989,11199069
6741211,6461156
8449384,8074622
8706343,8637485
11393562,1969231
11401135,1969227
11787226,1972451
5797331,2125837
10794088,4877855
11728558,7315227
6924649,7186841
8794762,10540049
11328654,9140328
10677812,5858271
11653409,1365171
6308379,3568402
10546598,4989635
11528254,9960067
10648848,4771213
9972247,1964449
10312767,3755067
7583256,4941482
1583885,4686460
10992565,7065055
11428398,6856006
10767423,11382570
6178958,11625623
9765820,11651525
9407306,11394088
10722836,11469950
10048522,8875655
9191130,8201457
7174085,7219860
8856838,7007330
3874097,7007434
11197053,11589730
9128983,8758878
6205438,11392699
11435231,10981079
7409323,6034190
7935267,8296026
5308629,11597694
10422570,2216332
11679581,2371421
11707684,2918879
4896467,9707801
8704434,6925137
8248885,4565587
10287708,4470461
6194342,3492068
2817428,6197531
8657271,10077373
11489147,3125420
11277320,2615425
6743743,11485987
7803607,8695466
5132353,3750779
11480359,9858227
11249534,6433303
11428208,8779493
10292273,7845509
6031010,8068524
10455409,6528945
11642801,8958844
2703355,10647322
11594288,4436969
11644523,11475270
2833550,11377820
9594286,8391511
11407212,5674200
2954977,11472306
9722643,1048823
11763315,6931785
11581372,10825859
8827211,8481110
4795710,7036592
10971644,10235672
11511121,11290295
11673964,6871481
11786260,8969761
11513709,7157876
7072040,8103013
11185411,11208650
11332582,7766784
11327583,9472702
11070125,9985796
7873688,6159430
11211941,10940511
11369490,1228295
10523452,11019975
10114264,938926
6168425,6268830
10468039,6467107
11164730,8937829
9000931,4979363
10000327,8571666
11295921,11334270
6087010,5110584
11551883,2037421
11501568,8495195
3999647,4572907
1262113,5642582
1677095,3758582
11230060,11432082
9927859,11381412
4155447,11383638
11290605,7885870
10993637,7972137
10348382,9248253
11524870,2459095
2444523,839189
11272776,3834327
11552086,1880651
10978048,11472535
3693971,11535971
5815955,7138178
7011267,9104803
2970135,5316767
5569827,4133663
11559716,9442403
11415679,10162263
6089026,9002100
11070339,3885291
11657150,6676549
8284671,2548302
11333416,4774142
10010469,4819175
11274046,8166679
11133643,6589391
11759838,10581699
11516879,6250642
11752919,10049033
10852345,961440
11503101,4915241
11678602,8479454
11077775,11241002
7623644,5655588
9791807,8034284
9607279,9311427
10515746,10975679
11666233,511561
9589808,11365422
6134170,3729805
11703144,8352975
9701592,4740983
9324988,9751811
10724574,4853648
8353850,3310342
9898358,4527755
11681164,2469697
11616505,3718789
11582495,2358542
11222323,2362589
10981705,8864286
11063695,6858201
11459624,11134172
11633382,4956493
11449951,1070309
2704683,9466491
8821272,6996318
11731021,8511367
9662912,1294120
6770479,6472935
11410634,1102804
8614599,1262257
11016801,11125706
11245760,10834666
10059748,9871440
6134690,10733110
7953883,11011906
11484039,5287254
11343345,7645470
11510153,11040928
11465510,10839554
11534622,11186341
8508691,7623492
11407167,11550498
11410235,9292594
11685650,2380141
11428069,11120114
7050022,11400013
6243664,11046499
6337195,9599543
11249154,6222382
8418374,11522983
11759119,11471839
10973999,7882479
10259231,9177865
11272822,9650411
10023433,7482047
9508612,4696842
11261741,8423920
11593637,11159776
11216790,11329523
10795241,3897091
11010874,11418319
9383992,2986654
6076500,716597
11267711,10640078
11616434,3088469
2865832,10845678
9359142,10905531
8989500,6927136
1804487,11190428
6003911,10518103
6206896,9779797
11648999,11290848
11738928,3584967
7840309,11222722
11777697,1606370
1085535,6056448
11705142,9649503
3564368,10956934
3084542,8716519
9735833,10156535
2631420,8209701
11369326,11522905
10903213,1251950
9794523,3987754
11323639,8788131
11738599,4967758
11550950,11367931
9340850,2861557
6013538,7778052
11785302,11404156
6906136,11614785
7572942,1574755
10893882,11232245
10599825,874811
11653284,8198854
11798097,11742715
7503590,6491384
11470341,8756429
8987956,9668047
11736698,6246823
8668843,11632993
2757165,3974773
7786759,4157968
10184999,1072813
11477631,11396342
11706945,7436068
11244796,6447079
11214501,11090187
11664398,3825731
10633965,2034549
11572263,5407051
4878163,4945579
11559661,7472656
8697308,3959793
11284153,2521846
11691702,8190023
11224251,10875326
11285758,604021
11156352,2947431
7700427,7517169
8799446,4326253
8502000,5467962
11219748,4444828
11625396,6161914
9522652,4660075
6105173,4484247
9942843,4852428
11712108,3140633
11374449,10532174
11195584,10919920
11693129,11368791
10165862,2259266
8958104,11312366
11565474,7626636
10346374,7959355
11719482,11279291
11788677,4388276
11579370,9361180
11795445,4814228
11736683,11235376
5381276,2859985
11574272,9852528
11661837,11504157
11714232,930299
10987149,11094865
4844636,2166852
11756628,2562701
6218084,5301636
11090559,5301634
11390071,8005065
11334160,8525389
4458242,5838429
9621172,2481616
11501547,9217736
2995066,2453827
11771411,7604165
11355302,4968074
8188530,11041196
10465279,3973050
6535347,2912817
9262361,5068186
11376210,6570117
11245864,11312424
11634442,11161616
11176451,9874361
6871462,11496741
10651576,576715
10823484,6831363
4414460,11520399
11398945,8316808
11590370,9183589
11651186,11480685
11219649,2995993
11022053,11471905
11207350,3219279
11664333,4795474
11537487,6290897
11509293,7455024
11799208,4643131
11239675,11556403
11725785,6875789
11405958,2650794
11719955,7311992
11595000,10932883
11516594,8268176
7682131,1102876
9524382,2643622
9131140,2590813
9700986,9331021
10163643,10310138
11694234,10985469
11448316,4308866
11727694,8955480
2977373,1272524
4836583,5419865
5922609,8797838
11324377,4445299
9601932,215881
11149896,11069254
11344583,5828631
7506579,11547698
6715598,10938098
8705196,7519952
7863297,3737573
9843029,3142075
7447821,2908402
10072600,7926361
10545854,8444283
8836189,11406780
4090498,8900859
6145292,10221820
1522303,608269
8996827,1777332
11586919,3908503
10861970,2421314
5725695,7442766
8873933,5457019
10030051,2836776
7606904,3233280
11019032,11477678
5662604,9021840
10254259,4149293
10977935,2207055
11077336,2838309
11301069,3162842
9775460,7446751
1415050,3044274
4646803,8841242
7119958,6500535
11337006,11173783
4591132,11415192
9784082,5770456
6570150,9647038
11705178,10625128
1247922,4524163
10322083,5542732
7725543,11394791
8323298,11654337
11410094,11396960
11590065,9010377
10884414,9742735
11617214,10635844
8071981,11354395
8944129,354338
11759689,11409693
6169225,10752833
11378504,11394092
11671194,4551807
11113043,8563058
11232977,9962114
10761288,8722882
8683042,11458312
11734291,11337606
11771326,7672290
11207244,11458369
11597400,11394890
10504165,11431942
9811584,443219
11460896,10005880
11517108,7627742
11022307,9711886
11030476,9434636
11193890,8380695
7924305,9381563
11378531,4941806
11211934,4746529
9901399,4556651
11044929,539260
4287654,11318919
10183500,7802013
11628418,8008655
10347355,3328894
7444594,627886
8479334,10332077
11766808,11123358
10661071,11397985
11377311,11482079
10529606,10383319
9964651,11337561
8728876,5905558
11463870,10178151
7048769,4077820
10302561,7147197
11486946,3200331
11559040,6342237
10895334,9600494
2758335,1963431
11555867,2881720
11188894,2881722
11228634,6221372
11354988,7268693
11094293,6776297
11284068,4448557
6226442,4714588
11052747,8035251
11429012,3233318
11794343,3044513
11154776,5385558
11436231,6302735
11396573,4105508
11340827,4470893
11324414,6023457
10937242,9357599
11554863,1915685
10670119,6959111
6221565,6305525
11320464,5881723
7633500,5255709
11279190,10429494
11738472,5425867
11221020,10428633
11476144,6883897
11251500,6884260
10898383,3151964
3760799,11334292
6200569,8992004
11430850,6909405
7112395,7526199
8240518,11136994
11470391,10325988
4830758,6203313
11172912,10381263
11361513,5271164
10778827,10654273
10964788,9750603
11577123,7628615
11437261,11644714
9686097,5010199
11710058,3792415
9794098,2682211
11488977,8619566
10687313,7728780
11273704,10353227
10401336,2497627
11698595,10728004
10786028,5042484
8581977,11139243
10588336,8360233
11747175,6353887
11267412,9115470
11590776,5045073
11161701,11469632
11694027,7830776
11374844,11596055
